12V,87.63,38.1,0,"TPB2,54","B2,54"
12V/24V,73.66,82.55,0,,SJ
24V,67.31,38.1,0,"TPB2,54","B2,54"
ABL_LED,94.0816,89.916,180,,LED_3MM-NS
C3,74.93,74.93,0,0.1uF,0603-CAP
C4,82.55,69.85,180,0.1uF,0603-CAP
C5,71.12,78.74,0,0.1uF,603
C6,68.58,59.69,0,10uF,1210
C7,74.93,57.15,0,10uF,1210
C8,76.2,52.07,180,0.1uF,0603-CAP
C9,67.31,64.77,0,0.1uF,0603-CAP
C10,81.28,78.74,0,1uf,603
GND,72.39,38.1,0,"TPB2,54","B2,54"
L1,82.55,60.96,180,3.3uH,805
Q1,81.28,57.15,270,MMBT4403,SOT23-3
R1,82.55,72.39,180,100,0603-RES
R2,82.55,74.93,180,100,0603-RES
R5,82.55,67.31,180,8.2K,0603-RES
R6,82.55,63.5,180,20k,0603-RES
R7,67.31,67.31,180,10K,0603-RES
R8,87.63,66.04,0,220R,603
R9,76.2,78.74,0,720R,603
R10,86.36,78.74,0,100R,603
U$1,104.14,55.88,0,NANO,NANO
U2,80.01,85.09,0,LM317,SOT223
U5,74.93,67.31,90,HX711,SO16
X1,58.42,68.58,180,LOADCELL 3,JST-XH-04-PACKAGE-LONG-PAD
X2,58.42,59.69,180,LOADCELL 2,JST-XH-04-PACKAGE-LONG-PAD
X3,58.42,77.47,180,LOADCELL 1,JST-XH-04-PACKAGE-LONG-PAD
X4,76.5302,45.8978,0,INPUT,JST-XH-04-PACKAGE-LONG-PAD
X8,87.4776,45.9486,0,ABL_LED,JST-XH-02-PACKAGE-LONG-PAD
ZDIR,77.47,38.1,0,"TPB2,54","B2,54"
ZOUT,82.55,38.1,0,"TPB2,54","B2,54"